snapshot_date,variant,ticker_count,selected_traded_value_5d,median_rank_5d,surge_exception_count,ky_tagged_count,total_market_traded_value_5d,turnover_share_5d,diagnostic_only
2018-08-24,top200_buffer100,300,564417229083.0,150.5,0,22,619250220529.0,0.9114526089322045,True
2018-08-24,top300_buffer100,400,585118766868.0,200.5,0,29,619250220529.0,0.9448826136358209,True
2018-08-24,top500_reference_only,500,596980549705.0,250.5,0,36,619250220529.0,0.9640376860827341,True
2018-08-24,turnover_share_80_reference,162,495434530841.0,81.5,0,18,619250220529.0,0.8000554774413655,True
2018-08-24,turnover_share_90_reference,276,557326573741.0,138.5,0,21,619250220529.0,0.9000022208549217,True
2018-08-31,top200_buffer100,300,627869552920.0,150.5,0,21,681668529896.0,0.921077511112024,True
2018-08-31,top300_buffer100,400,648211732792.0,200.5,0,23,681668529896.0,0.9509192582073513,True
2018-08-31,top500_reference_only,500,659674717663.0,250.5,0,34,681668529896.0,0.967735326968438,True
2018-08-31,turnover_share_80_reference,146,545537002712.0,73.5,0,12,681668529896.0,0.800296593998891,True
2018-08-31,turnover_share_90_reference,256,613647208047.0,128.5,0,19,681668529896.0,0.9002134925322461,True
2018-09-07,top200_buffer100,300,677821573051.0,150.5,0,21,735867549721.0,0.921118988475565,True
2018-09-07,top300_buffer100,400,699277469385.0,200.5,0,25,735867549721.0,0.9502762686710768,True
2018-09-07,top500_reference_only,500,711394496419.0,250.5,0,30,735867549721.0,0.9667425838912467,True
2018-09-07,turnover_share_80_reference,139,588911961199.0,70.0,0,9,735867549721.0,0.8002961421824928,True
2018-09-07,turnover_share_90_reference,255,662588251166.0,128.0,0,19,735867549721.0,0.9004178148869543,True
2018-09-14,top200_buffer100,300,692915069967.0,150.5,0,23,751521438212.0,0.9220163720353278,True
2018-09-14,top300_buffer100,400,714076331244.0,200.5,0,27,751521438212.0,0.9501742664093676,True
2018-09-14,top500_reference_only,500,726203971722.0,250.5,0,37,751521438212.0,0.9663117175336546,True
2018-09-14,turnover_share_80_reference,139,601998049827.0,70.0,0,13,751521438212.0,0.8010390911259403,True
2018-09-14,turnover_share_90_reference,252,676672023190.0,126.5,0,21,751521438212.0,0.9004028212420929,True
2018-09-21,top200_buffer100,300,673185491989.0,150.5,0,21,718985281809.0,0.9362994055945546,True
2018-09-21,top300_buffer100,400,690740229395.0,200.5,0,27,718985281809.0,0.9607153955322505,True
2018-09-21,top500_reference_only,500,700271235064.0,250.5,0,33,718985281809.0,0.9739715857633211,True
2018-09-21,turnover_share_80_reference,123,575252588157.0,62.0,0,9,718985281809.0,0.8000895188141238,True
2018-09-21,turnover_share_90_reference,223,647373840587.0,112.0,0,18,718985281809.0,0.9003992946255835,True
2018-09-28,top200_buffer100,300,680825081071.0,150.5,0,23,728669897426.0,0.9343395184513453,True
2018-09-28,top300_buffer100,400,699299822998.0,200.5,0,26,728669897426.0,0.9596935806848221,True
2018-09-28,top500_reference_only,500,709745804128.0,250.5,0,31,728669897426.0,0.9740292643282662,True
2018-09-28,turnover_share_80_reference,130,583010126604.0,65.5,0,9,728669897426.0,0.8001018412637356,True
2018-09-28,turnover_share_90_reference,227,655840985407.0,114.0,0,20,728669897426.0,0.9000522564795589,True
2018-10-05,top200_buffer100,300,598797821610.0,150.5,0,25,651759135638.0,0.9187409717300599,True
2018-10-05,top300_buffer100,400,618903861936.0,200.5,0,28,651759135638.0,0.9495898532057578,True
2018-10-05,top500_reference_only,500,630250087095.0,250.5,0,33,651759135638.0,0.9669984701910699,True
2018-10-05,turnover_share_80_reference,149,521550105730.0,75.0,0,11,651759135638.0,0.8002190950794426,True
2018-10-05,turnover_share_90_reference,262,586710397951.0,131.5,0,23,651759135638.0,0.9001951271103787,True
2018-10-12,top200_buffer100,300,760862097148.0,150.5,0,23,835872425313.0,0.9102610327922809,True
2018-10-12,top300_buffer100,400,786169638669.0,200.5,0,28,835872425313.0,0.9405378319240663,True
2018-10-12,top500_reference_only,500,801592707347.0,250.5,0,36,835872425313.0,0.9589892943852483,True
2018-10-12,turnover_share_80_reference,147,669272997187.0,74.0,0,12,835872425313.0,0.8006879721344853,True
